iter	MultiClass
0	1.046448125
1	1.006012789
2	0.9724482761
3	0.9451827955
4	0.9233131676
5	0.9053073698
6	0.8904458021
7	0.8773357333
8	0.8662389842
9	0.8567762492
10	0.8489916235
11	0.8425975608
12	0.836740782
13	0.832447665
14	0.8284282563
15	0.8249305316
16	0.821626942
17	0.8190094086
18	0.8170450371
19	0.8149166896
20	0.8132533583
21	0.8118973265
22	0.8103713897
23	0.8091975326
24	0.8077799101
25	0.80632297
26	0.8053993017
27	0.8048765234
28	0.8040985946
29	0.8031429353
30	0.8025264298
31	0.8018887358
32	0.801152505
33	0.8006535807
34	0.8000510728
35	0.7995993018
36	0.7989637163
37	0.7985192635
38	0.7980715082
39	0.7975591544
40	0.7972023936
41	0.7965927229
42	0.7961588483
43	0.7956977721
44	0.7952815814
45	0.7950145118
46	0.7945734555
47	0.7942354842
48	0.7938717165
49	0.7932200216
50	0.792745669
51	0.7923782067
52	0.7919629995
53	0.7917270535
54	0.7914850482
55	0.790943632
56	0.790601963
57	0.7900648934
58	0.7898163116
59	0.7896272525
60	0.7888155659
61	0.7884251841
62	0.7879763635
63	0.7875912703
64	0.7869904
65	0.7867141869
66	0.7863269368
67	0.7860366706
68	0.7858072603
69	0.7853506813
70	0.7850296645
71	0.7846243491
72	0.7840979391
73	0.7838642061
74	0.783714152
75	0.7833920189
76	0.782971269
77	0.7824923328
78	0.7820956605
79	0.7818045369
80	0.781457884
81	0.7812284376
82	0.780904667
83	0.7807336214
84	0.7803909441
85	0.7801904853
86	0.7797469014
87	0.7794996689
88	0.7792301845
89	0.7789061776
90	0.7787612363
91	0.7784909575
92	0.7781363767
93	0.7779046074
94	0.7775127385
95	0.7773371977
96	0.7768562379
97	0.7766455842
98	0.7765021311
99	0.7760683395
100	0.7758314072
101	0.7757683895
102	0.7755017885
103	0.7751512453
104	0.7749323537
105	0.7745665556
106	0.7741342877
107	0.7737975644
108	0.773665829
109	0.7730180149
110	0.7728720263
111	0.7724270041
112	0.7721031317
113	0.7717229496
114	0.7714121876
115	0.7711027005
116	0.7709510365
117	0.770748008
118	0.7704275409
119	0.7701766287
120	0.7697143794
121	0.769398468
122	0.7692130638
123	0.7690120676
124	0.7687313578
125	0.7684252371
126	0.7680230868
127	0.7677602379
128	0.7674715835
129	0.7671015028
130	0.7666950847
131	0.766434219
132	0.7661779113
133	0.7658260495
134	0.7655520044
135	0.7651603403
136	0.7648940009
137	0.7647010048
138	0.7644088745
139	0.7640696386
140	0.7637013669
141	0.7634747827
142	0.7632593897
143	0.7630564424
144	0.7629531858
145	0.7624146423
146	0.7621147158
147	0.7618556583
148	0.7613929002
149	0.7612246811
150	0.7609963278
151	0.7607042418
152	0.7604466167
153	0.7601864034
154	0.7600343051
155	0.7598269627
156	0.7596472987
157	0.7594569119
158	0.7590654781
159	0.7582928297
160	0.7579702695
161	0.7575402668
162	0.7572337146
163	0.7568845803
164	0.7564926771
165	0.7562498699
166	0.7559227039
167	0.7555411543
168	0.7550949804
169	0.75476989
170	0.7546704795
171	0.7545462259
172	0.7543624901
173	0.7540490272
174	0.7539989315
175	0.7534972251
176	0.7533203139
177	0.7529262488
178	0.7526565472
179	0.7522959679
180	0.7521119428
181	0.7518571577
182	0.7515941349
183	0.7513284314
184	0.751190313
185	0.7508985266
186	0.750730182
187	0.7503970473
188	0.7499069023
189	0.7494305203
190	0.7492868712
191	0.7487659002
192	0.7483825832
193	0.7481821629
194	0.7478203149
195	0.7476797438
196	0.7474832429
197	0.7470824837
198	0.7465499672
199	0.7462042553
200	0.7456426
201	0.7454589817
202	0.7451464473
203	0.7448214782
204	0.7445707544
205	0.7443958161
206	0.7441416452
207	0.7439547349
208	0.7437560749
209	0.7436160589
210	0.7433174542
211	0.7432129649
212	0.7428703455
213	0.7426980746
214	0.7420940367
215	0.7418572352
216	0.7416277821
217	0.7409553721
218	0.7407243078
219	0.7403269147
220	0.7399137614
221	0.7394939282
222	0.7391299862
223	0.7389153807
224	0.7385208415
225	0.7382087197
226	0.738084767
227	0.7377411334
228	0.737202094
229	0.7370339296
230	0.7364997468
231	0.7363762698
232	0.7362075541
233	0.7360321464
234	0.7357830912
235	0.7355058849
236	0.7353121196
237	0.734939181
238	0.7345946592
239	0.7342551889
240	0.7339820292
241	0.7338231649
242	0.7335499743
243	0.7332871716
244	0.7331345163
245	0.732649543
246	0.7324525194
247	0.7323327649
248	0.7320509822
249	0.7317525372
250	0.7314147085
251	0.7311153338
252	0.7306573058
253	0.7303848558
254	0.7299889392
255	0.7298737186
256	0.7297160786
257	0.7292634536
258	0.728999545
259	0.7286205569
260	0.7283004873
261	0.728209874
262	0.7279967817
263	0.7278239814
264	0.7276713345
265	0.7271930392
266	0.7268575736
267	0.7266289768
268	0.7264372635
269	0.7262934141
270	0.7259604933
271	0.7256614133
272	0.7255234166
273	0.7252944883
274	0.7250879916
275	0.7249437265
276	0.7248017824
277	0.7245862044
278	0.724374826
279	0.7240811655
280	0.7237366625
281	0.7233452845
282	0.7231301305
283	0.7228566661
284	0.7226302751
285	0.722410044
286	0.7221417358
287	0.7219489418
288	0.7216715509
289	0.7213770524
290	0.7210793069
291	0.7208671336
292	0.7206237215
293	0.7203714331
294	0.7202151106
295	0.7199332404
296	0.7197617672
297	0.71952611
298	0.7193080878
299	0.719121997
300	0.7188078616
301	0.7186615423
302	0.7184118796
303	0.7182398851
304	0.7180043945
305	0.7176735536
306	0.7173842017
307	0.717261443
308	0.7171334537
309	0.7170067465
310	0.7167158058
311	0.7165327977
312	0.7162998634
313	0.7159783808
314	0.7157072126
315	0.7155457639
316	0.7152260866
317	0.7149500711
318	0.7147840997
319	0.7143818358
320	0.7140150155
321	0.7138543176
322	0.713572758
323	0.713307104
324	0.7130996365
325	0.7128736859
326	0.7126866549
327	0.7125627968
328	0.7124610046
329	0.7123097447
330	0.7119293798
331	0.71152864
332	0.7112748998
333	0.7110584288
334	0.7109026103
335	0.7107422986
336	0.7105899496
337	0.7102802462
338	0.7099956288
339	0.7097717175
340	0.7095660075
341	0.7093112379
342	0.7090530819
343	0.7085651052
344	0.7083659779
345	0.7080320545
346	0.7077809182
347	0.7075132725
348	0.7073014064
349	0.7070645785
350	0.7067656016
351	0.7065587073
352	0.7063640803
353	0.7060779753
354	0.7058409376
355	0.7055887058
356	0.7054422197
357	0.7052961451
358	0.705124873
359	0.7047699488
360	0.7046000216
361	0.7042745009
362	0.7041074478
363	0.70389226
364	0.7035524091
365	0.7033854678
366	0.7030481887
367	0.7028045118
368	0.7025397951
369	0.7023838771
370	0.7022380099
371	0.7018865148
372	0.7016975841
373	0.7013890911
374	0.7011510681
375	0.7009318426
376	0.7008392233
377	0.7003362786
378	0.7000953438
379	0.6999990373
380	0.699800296
381	0.6996008259
382	0.6994872503
383	0.6992811712
384	0.699110073
385	0.6987916548
386	0.698659641
387	0.6984101748
388	0.6982044621
389	0.6980740962
390	0.6978723824
391	0.6976642366
392	0.6972368963
393	0.6970091378
394	0.6966853012
395	0.6963686479
396	0.6962596826
397	0.695965177
398	0.6957435758
399	0.6955616788
400	0.6953272942
401	0.6950439673
402	0.6948692591
403	0.6946076131
404	0.6944585111
405	0.6943618364
406	0.6941523716
407	0.6938848933
408	0.6936812645
409	0.6932985075
410	0.6931428797
411	0.6929180367
412	0.6925989005
413	0.6923938592
414	0.6922403692
415	0.6920801549
416	0.6918654615
417	0.6917722453
418	0.691619807
419	0.6913710276
420	0.6911003687
421	0.6908788544
422	0.6906888911
423	0.6904250804
424	0.6902846046
425	0.6901181141
426	0.6897821612
427	0.6895706268
428	0.6894327808
429	0.689174312
430	0.6890039072
431	0.688924976
432	0.6887185504
433	0.6883484497
434	0.6881504581
435	0.6879641449
436	0.6877042779
437	0.6874351648
438	0.6873680635
439	0.6872981348
440	0.6869713887
441	0.6867249276
442	0.6864092581
443	0.6862176826
444	0.6860516595
445	0.6858820583
446	0.6856414932
447	0.6855233656
448	0.6853222805
449	0.6851187861
450	0.6849147097
451	0.6848253818
452	0.6846769161
453	0.6844664655
454	0.6842931492
455	0.6840524493
456	0.6838362049
457	0.683589939
458	0.683295011
459	0.6830623662
460	0.6828310485
461	0.6827710902
462	0.6825732943
463	0.6824466898
464	0.6823711382
465	0.682131146
466	0.6818890889
467	0.6816793537
468	0.681466693
469	0.6813104858
470	0.6811450207
471	0.680946719
472	0.6806327981
473	0.6804447204
474	0.6801777957
475	0.6797301609
476	0.6794218583
477	0.6791640883
478	0.6789168134
479	0.6787234567
480	0.678425579
481	0.6783056693
482	0.6781565704
483	0.6778488768
484	0.6776917288
485	0.6773616328
486	0.677027837
487	0.6768071913
488	0.676574241
489	0.6763268568
490	0.6761990385
491	0.6761061441
492	0.6760302629
493	0.6758364568
494	0.6757387496
495	0.6756441798
496	0.675562971
497	0.6753362179
498	0.6751530954
499	0.6750811301
500	0.6748692607
501	0.6747460604
502	0.6745957328
503	0.6744805994
504	0.6742588652
505	0.6739550746
506	0.6737955228
507	0.6736020817
508	0.6734127871
509	0.6732303656
510	0.6730401783
511	0.6729269205
