iter	Passed	Remaining
0	26	26571
1	43	21679
2	59	19814
3	76	18951
4	89	17814
5	105	17439
6	119	16922
7	137	17000
8	150	16609
9	173	17158
10	185	16711
11	203	16720
12	217	16507
13	234	16497
14	251	16506
15	344	21210
16	381	22031
17	411	22430
18	439	22687
19	453	22207
20	467	21778
21	484	21536
22	506	21532
23	521	21221
24	535	20865
25	560	20981
26	572	20616
27	587	20401
28	602	20163
29	620	20069
30	637	19926
31	655	19818
32	683	20038
33	699	19866
34	721	19879
35	741	19854
36	767	19966
37	786	19915
38	800	19717
39	833	20005
40	858	20069
41	880	20085
42	1087	24201
43	1101	23937
44	1122	23821
45	1135	23541
46	1151	23352
47	1170	23220
48	1194	23187
49	1211	23021
50	1228	22866
51	1243	22661
52	1260	22529
53	1277	22381
54	1295	22263
55	1309	22074
56	1340	22176
57	1357	22040
58	1373	21903
59	1403	21988
60	1427	21968
61	1446	21885
62	1479	22005
63	1504	22006
64	1521	21890
65	1537	21758
66	1556	21675
67	1577	21617
68	1591	21480
69	1616	21476
70	1631	21350
71	1647	21235
72	1677	21299
73	1700	21276
74	1714	21144
75	1733	21081
76	1756	21052
77	1789	21151
78	1802	21010
79	1820	20940
80	1862	21136
81	1878	21025
82	1898	20970
83	1927	21017
84	1945	20946
85	1964	20876
86	1979	20776
87	1994	20666
88	2021	20687
89	2051	20746
90	2065	20636
91	2079	20528
92	2098	20467
93	2128	20514
94	2145	20438
95	2159	20332
96	2188	20376
97	2215	20389
98	2233	20324
99	2244	20201
100	2273	20237
101	2286	20131
102	2322	20223
103	2340	20160
104	2360	20121
105	2460	20753
106	2536	21169
107	2551	21071
108	2568	20991
109	2584	20913
110	2614	20941
111	2634	20888
112	2667	20938
113	2687	20884
114	2704	20810
115	2721	20739
116	2737	20656
117	2753	20584
118	2770	20510
119	2793	20486
120	2815	20454
121	2833	20390
122	2868	20450
123	2888	20407
124	2905	20340
125	2927	20306
126	2953	20302
127	2972	20253
128	2986	20165
129	3000	20081
130	3193	21184
131	3211	21119
132	3230	21058
133	3248	20995
134	3266	20929
135	3279	20836
136	3301	20796
137	3320	20743
138	3341	20695
139	3357	20624
140	3374	20560
141	3395	20513
142	3408	20429
143	3429	20384
144	3443	20305
145	3459	20234
146	3478	20186
147	3492	20106
148	3508	20038
149	3527	19986
150	3544	19927
151	3560	19861
152	3574	19789
153	3592	19734
154	3611	19689
155	3624	19608
156	3639	19542
157	3654	19474
158	3673	19431
159	3686	19356
160	3702	19294
161	3720	19246
162	3738	19198
163	3752	19130
164	3796	19211
165	3809	19139
166	3825	19080
167	3844	19038
168	3880	19082
169	3911	19098
170	3921	19013
